,NN,IN,CLOSE,OPEN
8_28,0.9668,0.9871,0.9305,0.8516
8_29,0.9671,0.9876,0.9197,0.8461
8_30,0.9677,0.987,0.9219,0.8472
8_31,0.967,0.9871,0.9416,0.8538
8_32,0.9672,0.9873,0.9294,0.8438
8_33,0.9672,0.987,0.9216,0.8527
8_34,0.9676,0.9874,0.9332,0.8515
8_35,0.9674,0.9867,0.9223,0.8576
8_36,0.9675,0.9876,0.9157,0.8502
8_37,0.9671,0.9872,0.935,0.8533
8_38,0.9675,0.987,0.9307,0.8502
8_39,0.9672,0.9871,0.9149,0.8489
9_0,0.9677,0.9872,0.9286,0.8498
9_1,0.9679,0.9871,0.9043,0.8555
9_2,0.9669,0.9871,0.9398,0.8419
9_3,0.9671,0.987,0.9231,0.8489
9_4,0.9672,0.9874,0.9432,0.859
9_5,0.9671,0.9869,0.9258,0.8538
9_6,0.9674,0.9875,0.925,0.8494
9_7,0.9677,0.9867,0.9434,0.8503
9_8,0.968,0.9875,0.9238,0.8515
9_9,0.9675,0.9869,0.9239,0.8501
9_10,0.9682,0.987,0.9275,0.8561
9_11,0.9677,0.9874,0.9237,0.8587
9_12,0.9678,0.9874,0.9453,0.8508
9_13,0.9674,0.9873,0.9291,0.8534
9_14,0.9671,0.9871,0.9263,0.8523
9_15,0.9676,0.9876,0.9217,0.85
9_16,0.9679,0.9874,0.9287,0.8556
9_17,0.9677,0.9872,0.9352,0.844
9_18,0.9681,0.9871,0.934,0.8561
9_19,0.9678,0.9869,0.9391,0.86
9_20,0.9673,0.9875,0.9268,0.8578
9_21,0.968,0.9871,0.9435,0.8518
9_22,0.9678,0.9872,0.9264,0.8583
9_23,0.9674,0.9876,0.9336,0.846
9_24,0.9668,0.9872,0.9233,0.85
9_25,0.9684,0.9872,0.9212,0.8599
9_26,0.9679,0.9875,0.9281,0.8486
9_27,0.9677,0.9872,0.9217,0.8549
9_28,0.9674,0.9876,0.924,0.8586
9_29,0.9676,0.9878,0.9263,0.8527
9_30,0.968,0.987,0.9377,0.8535
9_31,0.968,0.9874,0.9348,0.8596
9_32,0.9685,0.9878,0.9312,0.847
9_33,0.9677,0.9872,0.9252,0.8613
9_34,0.968,0.9876,0.924,0.8532
9_35,0.9689,0.9877,0.9202,0.8578
9_36,0.9682,0.9877,0.9365,0.8559
9_37,0.9676,0.988,0.9408,0.8496
9_38,0.9678,0.9873,0.9341,0.8568
9_39,0.968,0.9876,0.9318,0.8488
10_0,0.9684,0.9876,0.9252,0.8542
10_1,0.9687,0.9878,0.914,0.8566
10_2,0.9677,0.9876,0.9388,0.8487
10_3,0.9679,0.9873,0.9145,0.8498
10_4,0.9685,0.9874,0.9321,0.8513
10_5,0.9676,0.9876,0.934,0.8565
10_6,0.9683,0.9877,0.9296,0.8515
10_7,0.9684,0.9878,0.9269,0.8558
10_8,0.9687,0.9871,0.9284,0.8524
10_9,0.9677,0.9872,0.9286,0.8537
10_10,0.9691,0.9874,0.9219,0.8558
10_11,0.9688,0.9874,0.9341,0.8591
10_12,0.9687,0.9879,0.9315,0.8559
10_13,0.968,0.9874,0.9191,0.8565
10_14,0.9684,0.9872,0.9269,0.8497
10_15,0.9681,0.9877,0.9226,0.8512
10_16,0.9687,0.988,0.9238,0.8555
10_17,0.9687,0.9874,0.9313,0.8457
10_18,0.9682,0.9876,0.9187,0.8638
10_19,0.9681,0.9874,0.9262,0.867
10_20,0.9687,0.9877,0.9292,0.8569
10_21,0.9678,0.9881,0.9357,0.8589
10_22,0.9688,0.9874,0.9225,0.8564
10_23,0.9687,0.9877,0.9291,0.8491
10_24,0.9684,0.9879,0.9283,0.8548
10_25,0.9686,0.988,0.927,0.8607
10_26,0.9688,0.9878,0.9261,0.8581
10_27,0.9689,0.9875,0.9268,0.8573
10_28,0.9686,0.9875,0.9251,0.8597
10_29,0.9683,0.9884,0.9173,0.8518
10_30,0.9685,0.9877,0.9275,0.8575
10_31,0.9692,0.9879,0.9386,0.8577
10_32,0.9693,0.9879,0.9362,0.8535
10_33,0.9684,0.9878,0.9333,0.8628
10_34,0.9689,0.9878,0.9343,0.8577
10_35,0.9692,0.9875,0.916,0.8612
10_36,0.9688,0.9882,0.9268,0.8515
10_37,0.9684,0.9884,0.9365,0.859
10_38,0.9691,0.9874,0.9392,0.8528
10_39,0.9685,0.9875,0.9226,0.8553
11_0,0.9695,0.9883,0.9333,0.8586
11_1,0.9689,0.9878,0.931,0.8586
11_2,0.9685,0.9877,0.94,0.8528
11_3,0.9685,0.9878,0.9281,0.857
11_4,0.9688,0.9879,0.9385,0.8572
11_5,0.9688,0.9879,0.9262,0.8555
11_6,0.969,0.988,0.9259,0.8542
11_7,0.9693,0.9877,0.9405,0.8601
11_8,0.9696,0.9877,0.9286,0.8521
11_9,0.9689,0.9878,0.928,0.8556
11_10,0.9693,0.9879,0.9336,0.8598
11_11,0.9692,0.9877,0.9385,0.8632
11_12,0.969,0.9882,0.9415,0.8572
11_13,0.9683,0.9878,0.9343,0.854
11_14,0.9691,0.9876,0.9253,0.8522
11_15,0.9687,0.9883,0.9342,0.8618
11_16,0.9688,0.9878,0.9231,0.8623
11_17,0.9695,0.9876,0.9315,0.8505
11_18,0.9695,0.9878,0.9294,0.8673
11_19,0.9687,0.9877,0.9338,0.8666
11_20,0.9695,0.9884,0.9232,0.8606
11_21,0.9689,0.9879,0.9246,0.8605
11_22,0.9691,0.9879,0.9289,0.8615
11_23,0.9691,0.988,0.932,0.8545
11_24,0.969,0.9879,0.9224,0.8547
11_25,0.9694,0.9882,0.9214,0.8672
11_26,0.9695,0.9884,0.927,0.8576
11_27,0.9692,0.9883,0.9269,0.8611
11_28,0.9689,0.9877,0.9326,0.8616
11_29,0.9696,0.9885,0.9214,0.8616
11_30,0.9693,0.9879,0.9288,0.857
11_31,0.9691,0.988,0.9332,0.8665
11_32,0.9695,0.9881,0.9256,0.8517
11_33,0.9691,0.988,0.9312,0.8611
11_34,0.9697,0.9883,0.9263,0.8605
11_35,0.9697,0.9879,0.9301,0.864
11_36,0.9693,0.9883,0.9328,0.8523
11_37,0.9689,0.9885,0.9327,0.8659
11_38,0.9698,0.9881,0.9394,0.8627
11_39,0.9694,0.988,0.9273,0.8572
12_0,0.9694,0.9886,0.9378,0.861
12_1,0.97,0.9881,0.9241,0.862
12_2,0.9692,0.9882,0.9351,0.8548
12_3,0.969,0.988,0.9152,0.8573
12_4,0.9692,0.9881,0.9456,0.8591
12_5,0.9695,0.9882,0.9409,0.8588
12_6,0.9696,0.9885,0.931,0.8564
12_7,0.9695,0.9876,0.9364,0.8617
12_8,0.9699,0.9881,0.9251,0.8576
12_9,0.9699,0.9879,0.9296,0.861
12_10,0.9698,0.9881,0.9455,0.8643
12_11,0.9693,0.9883,0.9424,0.8633
12_12,0.9698,0.9882,0.9477,0.8627
12_13,0.9694,0.9877,0.9373,0.8636
12_14,0.9698,0.9881,0.9271,0.8547
12_15,0.9697,0.9885,0.9359,0.8623
12_16,0.9696,0.988,0.9293,0.8617
12_17,0.9698,0.9883,0.9383,0.8538
12_18,0.9698,0.9883,0.9192,0.8681
12_19,0.9693,0.9878,0.9291,0.8698
12_20,0.9703,0.9883,0.9265,0.8628
12_21,0.9693,0.9881,0.9326,0.8593
12_22,0.97,0.9878,0.9342,0.8613
12_23,0.9689,0.9883,0.9567,0.8539
12_24,0.9701,0.9883,0.9204,0.8591
12_25,0.9698,0.9883,0.9324,0.8715
12_26,0.9702,0.9882,0.9406,0.8576
12_27,0.9701,0.9881,0.9277,0.8621
12_28,0.9686,0.9883,0.9264,0.8628
12_29,0.9696,0.9888,0.9312,0.858
12_30,0.9703,0.9884,0.9337,0.8599
12_31,0.97,0.9883,0.9408,0.8743
12_32,0.9699,0.9883,0.9306,0.8539
12_33,0.9696,0.9882,0.9243,0.8674
12_34,0.9705,0.9882,0.9514,0.8738
12_35,0.9695,0.9883,0.9312,0.868
12_36,0.9694,0.9886,0.9233,0.8561
12_37,0.9697,0.9885,0.9367,0.8611
12_38,0.9694,0.9882,0.946,0.8619
12_39,0.9697,0.9879,0.9291,0.8618
13_0,0.9699,0.9888,0.9344,0.8641
13_1,0.9704,0.9884,0.9324,0.8613
13_2,0.9695,0.9881,0.9351,0.8591
