,NN,IN,CLOSE,OPEN
0_0,0.8061,0.2344,0.019,0.0065
0_1,0.9585,0.9225,0.1501,0.0909
0_2,0.891,0.9728,0.3966,0.3959
0_3,0.9008,0.9732,0.6291,0.4915
0_4,0.9197,0.9725,0.75,0.5702
0_5,0.9282,0.9736,0.7602,0.6175
0_6,0.9313,0.9737,0.7635,0.6318
0_7,0.9321,0.9735,0.7626,0.6428
0_8,0.9341,0.9747,0.7693,0.6599
0_9,0.9359,0.9747,0.7817,0.6937
0_10,0.9357,0.9756,0.7913,0.7248
0_11,0.9371,0.976,0.7934,0.7365
0_12,0.9386,0.9765,0.8067,0.7487
0_13,0.94,0.9763,0.8268,0.7546
0_14,0.9404,0.9766,0.8526,0.7581
0_15,0.9412,0.977,0.8594,0.7563
0_16,0.9422,0.9775,0.8651,0.7573
0_17,0.9432,0.9777,0.8674,0.7639
0_18,0.9411,0.9779,0.8706,0.7644
0_19,0.9443,0.9777,0.8724,0.768
0_20,0.944,0.9779,0.8709,0.7667
0_21,0.9428,0.9779,0.8714,0.7728
0_22,0.9442,0.9781,0.8719,0.768
0_23,0.9448,0.9784,0.876,0.773
0_24,0.9442,0.9787,0.8769,0.7758
0_25,0.9441,0.9785,0.8778,0.7751
0_26,0.9452,0.9784,0.8782,0.7761
0_27,0.9453,0.9789,0.8787,0.7746
0_28,0.9452,0.9783,0.8782,0.7769
0_29,0.9466,0.98,0.8769,0.7814
0_30,0.9458,0.9786,0.8822,0.7811
0_31,0.9473,0.9789,0.8812,0.783
0_32,0.9477,0.9789,0.8799,0.7796
0_33,0.9459,0.9787,0.8794,0.7863
0_34,0.9489,0.9788,0.8812,0.7824
0_35,0.9469,0.9797,0.88,0.7876
0_36,0.9471,0.9793,0.8804,0.7839
0_37,0.9472,0.9797,0.8797,0.7863
0_38,0.9494,0.9791,0.8816,0.7867
0_39,0.9487,0.9788,0.8843,0.7856
1_0,0.9492,0.9797,0.8802,0.7889
1_1,0.9481,0.9793,0.8819,0.7885
1_2,0.9494,0.9795,0.8839,0.7894
1_3,0.9478,0.9798,0.8822,0.7854
1_4,0.9488,0.9791,0.8843,0.7889
1_5,0.9489,0.98,0.8854,0.7899
1_6,0.9499,0.9798,0.8859,0.7912
1_7,0.9496,0.9799,0.8813,0.7904
1_8,0.95,0.9802,0.8844,0.7903
1_9,0.9493,0.9801,0.8837,0.7906
1_10,0.9501,0.9805,0.885,0.7899
1_11,0.9502,0.9807,0.8849,0.7911
1_12,0.9502,0.98,0.881,0.7928
1_13,0.9513,0.9797,0.8862,0.793
1_14,0.9496,0.98,0.8846,0.796
1_15,0.9509,0.9804,0.8844,0.7905
1_16,0.952,0.9805,0.886,0.7897
1_17,0.9524,0.9808,0.8836,0.7964
1_18,0.9513,0.981,0.8844,0.7949
1_19,0.9524,0.9806,0.8846,0.7943
1_20,0.952,0.9808,0.8822,0.7963
1_21,0.9515,0.981,0.8823,0.7946
1_22,0.9524,0.9808,0.8814,0.7948
1_23,0.9516,0.9807,0.886,0.7975
1_24,0.9516,0.981,0.886,0.8005
1_25,0.9527,0.9812,0.8863,0.7975
1_26,0.9526,0.9812,0.8858,0.7971
1_27,0.9518,0.9811,0.8858,0.7992
1_28,0.9529,0.9808,0.887,0.7981
1_29,0.9521,0.9816,0.8849,0.7989
1_30,0.9536,0.9807,0.888,0.8003
1_31,0.9537,0.9819,0.8866,0.801
1_32,0.9528,0.9809,0.8868,0.7978
1_33,0.9533,0.9814,0.8879,0.8055
1_34,0.9542,0.9813,0.8868,0.8032
1_35,0.9537,0.9818,0.886,0.8055
1_36,0.9536,0.9811,0.8866,0.8024
1_37,0.9527,0.9821,0.8871,0.8035
1_38,0.9538,0.9812,0.886,0.8024
1_39,0.9546,0.9815,0.8876,0.8013
2_0,0.954,0.9816,0.8879,0.807
2_1,0.9547,0.9814,0.8864,0.803
2_2,0.9542,0.9816,0.8869,0.8043
2_3,0.9536,0.9818,0.8858,0.8012
2_4,0.9546,0.9817,0.8886,0.8041
2_5,0.9541,0.982,0.8898,0.8035
2_6,0.9553,0.9819,0.8878,0.8064
2_7,0.9552,0.9818,0.8889,0.8046
2_8,0.9545,0.9821,0.8877,0.8048
2_9,0.9545,0.9818,0.891,0.8048
2_10,0.9551,0.9824,0.8894,0.8071
2_11,0.9542,0.9821,0.8897,0.805
