,NN,IN,CLOSE,OPEN
0_0,0.8035,0.2308,0.0188,0.0066
0_1,0.9605,0.9217,0.1475,0.0896
0_2,0.8908,0.9727,0.3948,0.3981
0_3,0.903,0.9736,0.6311,0.4938
0_4,0.9203,0.9734,0.7507,0.5778
0_5,0.9292,0.974,0.7608,0.6209
0_6,0.9307,0.9746,0.7623,0.6348
0_7,0.9332,0.9741,0.7637,0.6444
0_8,0.9337,0.9744,0.7711,0.6632
0_9,0.9353,0.9748,0.7852,0.6947
0_10,0.9367,0.9755,0.7911,0.7244
0_11,0.9387,0.9756,0.7947,0.74
0_12,0.939,0.9765,0.8091,0.7509
0_13,0.9396,0.9761,0.8233,0.7493
0_14,0.9401,0.9761,0.8522,0.7593
0_15,0.9403,0.9773,0.8651,0.7584
0_16,0.9427,0.9777,0.8697,0.7611
0_17,0.9418,0.9772,0.8701,0.764
0_18,0.9422,0.978,0.8727,0.7656
0_19,0.9423,0.9782,0.8767,0.7677
0_20,0.9435,0.9784,0.8756,0.7713
0_21,0.9427,0.9787,0.8735,0.7698
0_22,0.945,0.9786,0.8735,0.7725
0_23,0.9449,0.9782,0.8768,0.7737
0_24,0.9448,0.9784,0.8763,0.777
0_25,0.9452,0.9781,0.8786,0.7726
0_26,0.9461,0.979,0.8782,0.7742
0_27,0.9463,0.9786,0.8782,0.7813
0_28,0.9443,0.9791,0.8796,0.7777
0_29,0.9475,0.9788,0.879,0.7799
0_30,0.9465,0.9789,0.8824,0.7807
0_31,0.9471,0.9789,0.8804,0.7815
0_32,0.9477,0.9793,0.8802,0.779
0_33,0.9462,0.9784,0.8809,0.7884
0_34,0.9488,0.9793,0.8796,0.7838
0_35,0.9467,0.9797,0.8805,0.7877
0_36,0.947,0.9791,0.8811,0.784
0_37,0.9475,0.9799,0.8802,0.7854
0_38,0.9491,0.979,0.8814,0.7856
0_39,0.9484,0.9794,0.8832,0.7869
1_0,0.949,0.98,0.8823,0.7886
1_1,0.9488,0.98,0.879,0.7859
1_2,0.9481,0.9797,0.8848,0.7856
1_3,0.9497,0.9791,0.8818,0.7914
1_4,0.9488,0.9798,0.8825,0.7922
1_5,0.95,0.9804,0.8846,0.7936
1_6,0.9498,0.9801,0.8854,0.7892
1_7,0.9493,0.9801,0.8837,0.7877
1_8,0.9496,0.98,0.8849,0.793
1_9,0.9503,0.9797,0.8838,0.7909
1_10,0.9508,0.9796,0.8848,0.7943
1_11,0.9503,0.9802,0.8834,0.7924
1_12,0.9509,0.98,0.8844,0.7939
1_13,0.9495,0.9803,0.8832,0.7905
1_14,0.951,0.9801,0.8871,0.7949
1_15,0.9511,0.9806,0.8862,0.7943
1_16,0.9516,0.9803,0.8863,0.7953
1_17,0.9514,0.9801,0.8832,0.7941
1_18,0.9521,0.9809,0.8857,0.7942
1_19,0.9514,0.9805,0.8862,0.795
1_20,0.9522,0.9811,0.8857,0.7958
1_21,0.9517,0.981,0.8864,0.7953
1_22,0.9521,0.9808,0.8829,0.7991
1_23,0.9532,0.9803,0.8867,0.8
1_24,0.9508,0.9806,0.8846,0.7988
1_25,0.9532,0.981,0.8855,0.7963
1_26,0.9528,0.9808,0.8877,0.7967
1_27,0.9536,0.9813,0.8845,0.8011
1_28,0.9524,0.9816,0.8841,0.7987
1_29,0.9535,0.9812,0.8856,0.7983
1_30,0.9539,0.9811,0.8874,0.7994
1_31,0.9536,0.9814,0.8869,0.8011
1_32,0.9533,0.9811,0.8884,0.7984
1_33,0.953,0.9816,0.8875,0.8038
1_34,0.954,0.9812,0.8868,0.8028
1_35,0.954,0.9821,0.8853,0.8052
1_36,0.9533,0.9814,0.886,0.8015
1_37,0.9531,0.9821,0.888,0.8038
1_38,0.9543,0.9811,0.8885,0.8034
1_39,0.9545,0.9816,0.8865,0.8039
2_0,0.9541,0.9819,0.89,0.8045
2_1,0.9549,0.982,0.8843,0.8036
2_2,0.9534,0.9817,0.8898,0.803
2_3,0.9546,0.9816,0.8866,0.8042
2_4,0.9539,0.9816,0.8874,0.8095
2_5,0.9549,0.9824,0.8898,0.8085
2_6,0.9539,0.9822,0.8894,0.805
2_7,0.9555,0.9819,0.8873,0.8049
2_8,0.9543,0.982,0.8916,0.8065
2_9,0.9552,0.9817,0.8895,0.8068
2_10,0.9556,0.9822,0.8883,0.8088
2_11,0.9557,0.9819,0.8878,0.8065
2_12,0.955,0.9823,0.8884,0.8089
2_13,0.9548,0.9825,0.8879,0.804
2_14,0.9561,0.9822,0.8905,0.808
2_15,0.9557,0.9822,0.8901,0.8065
2_16,0.9564,0.9823,0.8885,0.8094
2_17,0.956,0.9824,0.8894,0.8085
2_18,0.9556,0.9823,0.8889,0.8078
2_19,0.9559,0.9821,0.8904,0.8071
2_20,0.9562,0.9828,0.8902,0.8096
2_21,0.9557,0.9826,0.8904,0.8077
2_22,0.9569,0.9826,0.8879,0.8095
2_23,0.9568,0.9821,0.8904,0.8106
2_24,0.9561,0.9826,0.8878,0.8119
2_25,0.957,0.9826,0.8896,0.809
2_26,0.9568,0.9829,0.8919,0.8079
2_27,0.9573,0.9828,0.8887,0.8131
2_28,0.9572,0.9824,0.8882,0.809
2_29,0.9567,0.9833,0.8883,0.812
2_30,0.9572,0.9825,0.8932,0.8104
2_31,0.9567,0.9827,0.8904,0.8132
2_32,0.9566,0.9835,0.8907,0.811
2_33,0.9565,0.9824,0.8923,0.8144
2_34,0.9581,0.9832,0.8877,0.8122
2_35,0.957,0.9835,0.8894,0.8171
2_36,0.9566,0.9831,0.8907,0.8153
2_37,0.9572,0.9838,0.889,0.8132
2_38,0.9581,0.9828,0.8968,0.8148
2_39,0.9576,0.9829,0.8909,0.8126
3_0,0.9581,0.9832,0.8912,0.8131
3_1,0.9581,0.9832,0.8886,0.814
3_2,0.9573,0.9833,0.893,0.8119
3_3,0.9577,0.9829,0.8907,0.8148
3_4,0.9581,0.9832,0.8901,0.8168
3_5,0.9576,0.9835,0.8944,0.8177
3_6,0.9574,0.984,0.8935,0.8137
3_7,0.9582,0.9834,0.8909,0.8127
3_8,0.9577,0.9835,0.8918,0.8169
3_9,0.9579,0.9827,0.8917,0.8165
3_10,0.9589,0.983,0.8915,0.8157
3_11,0.9587,0.9832,0.8907,0.8172
3_12,0.9591,0.983,0.8917,0.8146
3_13,0.9575,0.9833,0.8898,0.8145
3_14,0.9588,0.9833,0.8942,0.8165
3_15,0.9585,0.9837,0.9025,0.8167
3_16,0.959,0.9836,0.8932,0.8157
3_17,0.9584,0.9836,0.8915,0.8152
3_18,0.9592,0.9836,0.8911,0.8186
3_19,0.9587,0.9828,0.8976,0.8153
3_20,0.9589,0.984,0.8936,0.8186
3_21,0.9591,0.9837,0.8925,0.8167
3_22,0.9587,0.9838,0.8909,0.8182
3_23,0.9597,0.9834,0.8929,0.8179
3_24,0.9584,0.9841,0.8988,0.8199
3_25,0.9591,0.9838,0.8998,0.8148
3_26,0.9596,0.984,0.8925,0.8145
3_27,0.9594,0.9839,0.8977,0.8199
3_28,0.9597,0.9843,0.8993,0.8156
3_29,0.96,0.9834,0.8955,0.8183
3_30,0.9596,0.984,0.9032,0.818
3_31,0.9598,0.9841,0.9002,0.8189
3_32,0.9598,0.984,0.8959,0.8183
3_33,0.9596,0.984,0.8971,0.8227
3_34,0.9594,0.9836,0.8973,0.8208
3_35,0.9601,0.9842,0.8971,0.8214
3_36,0.9593,0.9842,0.8986,0.8185
3_37,0.9597,0.9842,0.8958,0.8207
3_38,0.96,0.9836,0.9046,0.8208
3_39,0.9593,0.9841,0.9104,0.8214
4_0,0.9605,0.9843,0.8977,0.8196
4_1,0.9607,0.9842,0.8947,0.8192
4_2,0.9593,0.9841,0.8977,0.8202
4_3,0.9601,0.9838,0.896,0.8199
4_4,0.9602,0.9842,0.9096,0.8244
4_5,0.9605,0.9842,0.9005,0.824
4_6,0.9602,0.9848,0.8958,0.82
4_7,0.9608,0.984,0.8968,0.8202
4_8,0.9603,0.9846,0.9034,0.8215
4_9,0.9605,0.9837,0.8978,0.8224
4_10,0.9612,0.9845,0.8938,0.8248
4_11,0.9613,0.9843,0.9023,0.8301
4_12,0.961,0.9845,0.9037,0.8226
4_13,0.9602,0.9842,0.8985,0.8241
4_14,0.9611,0.9844,0.9094,0.8268
4_15,0.9602,0.9848,0.9122,0.8268
4_16,0.9613,0.9843,0.9052,0.8229
4_17,0.9612,0.9849,0.8955,0.8226
4_18,0.9612,0.9842,0.8988,0.8265
4_19,0.9606,0.9845,0.9054,0.8292
4_20,0.9611,0.9843,0.9081,0.8248
4_21,0.9608,0.985,0.9152,0.8225
4_22,0.9612,0.9845,0.9031,0.8258
4_23,0.9611,0.9844,0.8991,0.8324
4_24,0.9612,0.9842,0.9069,0.8285
4_25,0.9621,0.9844,0.9007,0.8245
4_26,0.9616,0.9847,0.8981,0.8255
4_27,0.9613,0.9847,0.911,0.8263
4_28,0.9614,0.985,0.9091,0.8246
4_29,0.9613,0.9845,0.9029,0.8275
4_30,0.9618,0.9844,0.914,0.8309
4_31,0.9616,0.9848,0.9163,0.8324
4_32,0.9613,0.985,0.905,0.8248
4_33,0.9616,0.9845,0.9073,0.8318
4_34,0.9625,0.985,0.9188,0.8292
