,NN,IN,CLOSE,OPEN
4_35,0.9615,0.9851,0.9051,0.8321
4_36,0.9621,0.9848,0.9116,0.8284
4_37,0.9616,0.985,0.9089,0.8261
4_38,0.962,0.9845,0.9198,0.8303
4_39,0.9616,0.9848,0.9132,0.8278
5_0,0.9618,0.9855,0.9114,0.8331
5_1,0.9623,0.9845,0.8973,0.8336
5_2,0.9617,0.9851,0.9099,0.8294
5_3,0.9622,0.9846,0.9002,0.8295
5_4,0.9618,0.9848,0.9165,0.8308
5_5,0.9623,0.9855,0.9081,0.8324
5_6,0.9615,0.9854,0.9028,0.8238
5_7,0.9621,0.9851,0.9178,0.8317
5_8,0.9623,0.9848,0.9018,0.8298
5_9,0.9625,0.9846,0.9056,0.8305
5_10,0.9624,0.9847,0.912,0.8324
5_11,0.9622,0.985,0.9049,0.8375
5_12,0.962,0.985,0.9094,0.8301
5_13,0.9617,0.9848,0.9144,0.8287
5_14,0.9621,0.985,0.9071,0.8341
5_15,0.9624,0.9858,0.9186,0.8327
5_16,0.9629,0.9851,0.9076,0.8359
5_17,0.9625,0.9851,0.9093,0.8298
5_18,0.9628,0.9852,0.8987,0.8383
5_19,0.962,0.9845,0.9126,0.839
5_20,0.9624,0.9851,0.9179,0.8325
5_21,0.9621,0.9853,0.9206,0.829
5_22,0.9627,0.9855,0.905,0.8324
5_23,0.9623,0.985,0.91,0.8398
5_24,0.9627,0.9851,0.905,0.8336
5_25,0.9629,0.985,0.9148,0.8276
5_26,0.963,0.9857,0.9098,0.8377
5_27,0.9637,0.985,0.913,0.8361
5_28,0.9628,0.9854,0.9193,0.8311
5_29,0.9632,0.9855,0.9094,0.8355
5_30,0.9633,0.9854,0.9224,0.8352
5_31,0.9629,0.9857,0.918,0.8378
5_32,0.9627,0.9856,0.9183,0.8327
5_33,0.9628,0.9853,0.9112,0.8371
5_34,0.9637,0.9855,0.9113,0.8324
5_35,0.9632,0.9858,0.9047,0.842
5_36,0.9632,0.9855,0.9006,0.8386
5_37,0.9629,0.9861,0.9204,0.834
5_38,0.963,0.985,0.9137,0.8382
5_39,0.9634,0.9854,0.9177,0.833
6_0,0.9634,0.9862,0.9126,0.8388
6_1,0.9638,0.9856,0.9018,0.8417
6_2,0.9628,0.9853,0.9208,0.8337
6_3,0.9629,0.9853,0.9018,0.8349
6_4,0.9633,0.9856,0.9268,0.8406
6_5,0.9639,0.9857,0.9111,0.8388
6_6,0.9633,0.9862,0.9146,0.8333
6_7,0.964,0.9852,0.9035,0.8385
6_8,0.9636,0.986,0.9146,0.8344
6_9,0.964,0.9852,0.9178,0.8364
6_10,0.9636,0.9855,0.9121,0.8411
6_11,0.9639,0.9854,0.9295,0.84
6_12,0.9638,0.9857,0.9114,0.8372
6_13,0.9631,0.9857,0.9061,0.8407
6_14,0.9641,0.9857,0.9142,0.8365
6_15,0.9636,0.9861,0.9145,0.8399
6_16,0.9641,0.9857,0.9185,0.8462
6_17,0.9639,0.9859,0.9143,0.8317
6_18,0.9637,0.9859,0.9103,0.8439
6_19,0.964,0.9852,0.9197,0.8424
6_20,0.9638,0.9857,0.917,0.8418
6_21,0.9636,0.9857,0.9256,0.84
6_22,0.964,0.9861,0.9128,0.8402
6_23,0.9644,0.9856,0.9106,0.8459
6_24,0.9642,0.9854,0.9102,0.8471
6_25,0.9638,0.9859,0.9146,0.8362
6_26,0.9646,0.9856,0.921,0.8365
6_27,0.9637,0.9862,0.9288,0.8435
6_28,0.9639,0.9859,0.9232,0.8384
6_29,0.9645,0.9859,0.9125,0.8429
6_30,0.9649,0.9854,0.9254,0.835
6_31,0.9649,0.9863,0.9305,0.8383
6_32,0.9643,0.9861,0.9233,0.8364
6_33,0.964,0.9861,0.9246,0.8449
6_34,0.9646,0.9858,0.921,0.8447
6_35,0.9648,0.9861,0.9065,0.8467
6_36,0.9643,0.9866,0.9134,0.8403
6_37,0.9644,0.9864,0.9294,0.8375
6_38,0.9636,0.9857,0.9297,0.84
6_39,0.9644,0.9858,0.9233,0.8377
7_0,0.9651,0.9865,0.9185,0.8441
7_1,0.9647,0.9861,0.9107,0.8489
7_2,0.9638,0.9861,0.9229,0.8368
7_3,0.9644,0.9861,0.9092,0.8414
7_4,0.9642,0.9856,0.9268,0.8407
7_5,0.9653,0.9862,0.9078,0.8381
7_6,0.9643,0.9866,0.9097,0.8412
7_7,0.965,0.9856,0.924,0.843
7_8,0.965,0.9863,0.9158,0.8346
7_9,0.9651,0.9856,0.9255,0.8378
7_10,0.965,0.986,0.9071,0.8471
7_11,0.9649,0.9859,0.9264,0.8521
7_12,0.9661,0.9864,0.9232,0.8373
7_13,0.9639,0.9857,0.9068,0.8408
7_14,0.9654,0.9861,0.9172,0.8399
7_15,0.9646,0.9863,0.9211,0.8456
7_16,0.965,0.9861,0.9231,0.8538
7_17,0.9648,0.9862,0.9242,0.8382
7_18,0.9653,0.9861,0.9071,0.8447
7_19,0.9646,0.9859,0.9207,0.8469
7_20,0.9653,0.9862,0.9126,0.8478
7_21,0.9651,0.9868,0.9228,0.8407
7_22,0.9649,0.9866,0.9172,0.8432
7_23,0.9651,0.9862,0.9186,0.8491
7_24,0.9651,0.9861,0.9142,0.8486
7_25,0.9658,0.986,0.9175,0.8366
7_26,0.9651,0.9866,0.9197,0.8442
7_27,0.9657,0.9864,0.9197,0.845
7_28,0.9653,0.9863,0.9303,0.8429
7_29,0.9658,0.9864,0.9219,0.8383
7_30,0.9654,0.9863,0.9286,0.8399
7_31,0.9658,0.9862,0.9213,0.8474
7_32,0.9657,0.9867,0.9194,0.8396
7_33,0.9655,0.9861,0.9213,0.847
7_34,0.9658,0.9865,0.9353,0.8447
7_35,0.966,0.9863,0.9177,0.8462
7_36,0.9652,0.9866,0.9178,0.8465
7_37,0.9652,0.9866,0.9247,0.842
7_38,0.9653,0.9862,0.934,0.8442
7_39,0.9659,0.9861,0.9292,0.8413
8_0,0.9655,0.9866,0.9191,0.8465
8_1,0.9664,0.9864,0.9059,0.8489
8_2,0.9651,0.9866,0.9334,0.8437
8_3,0.9651,0.9863,0.9119,0.8426
8_4,0.9658,0.9866,0.9361,0.8458
8_5,0.9656,0.9863,0.9232,0.8489
8_6,0.9655,0.9872,0.9238,0.8435
8_7,0.9658,0.9867,0.9307,0.8478
8_8,0.9654,0.9868,0.9262,0.8411
8_9,0.9657,0.9862,0.9192,0.847
8_10,0.9665,0.9866,0.9198,0.8499
8_11,0.9658,0.9867,0.931,0.8531
8_12,0.9662,0.9868,0.9338,0.8445
8_13,0.9651,0.9862,0.9231,0.8463
8_14,0.9663,0.9866,0.9135,0.846
8_15,0.9657,0.9868,0.9281,0.8478
8_16,0.9654,0.9866,0.9196,0.8509
8_17,0.9661,0.9867,0.9253,0.8381
8_18,0.9659,0.9866,0.9078,0.8514
8_19,0.9659,0.9862,0.9265,0.854
8_20,0.9655,0.9865,0.922,0.8465
8_21,0.9653,0.9867,0.9255,0.8419
8_22,0.9661,0.987,0.9204,0.849
8_23,0.9658,0.9867,0.9295,0.8529
8_24,0.9654,0.9864,0.9258,0.8502
8_25,0.9664,0.9867,0.9279,0.8411
8_26,0.9661,0.9868,0.9241,0.8484
8_27,0.9662,0.9871,0.9305,0.8505
8_28,0.9659,0.9868,0.9263,0.839
8_29,0.9655,0.9866,0.9293,0.8472
8_30,0.9666,0.9867,0.9312,0.8462
8_31,0.9661,0.987,0.9366,0.8486
8_32,0.9665,0.9871,0.9309,0.8421
8_33,0.966,0.9866,0.928,0.8513
8_34,0.9665,0.987,0.9362,0.845
8_35,0.9661,0.9866,0.9181,0.8476
8_36,0.9662,0.9871,0.9242,0.8439
8_37,0.9662,0.9871,0.9314,0.846
8_38,0.9664,0.9864,0.9326,0.8484
8_39,0.9662,0.9866,0.9306,0.8431
9_0,0.9667,0.987,0.9149,0.8486
9_1,0.9667,0.987,0.9088,0.8459
9_2,0.9664,0.9869,0.932,0.842
9_3,0.9665,0.9866,0.9044,0.8463
9_4,0.966,0.9869,0.9364,0.8467
9_5,0.9667,0.9868,0.9295,0.8467
9_6,0.9659,0.9875,0.9117,0.843
9_7,0.9665,0.9867,0.9318,0.8493
9_8,0.9669,0.9872,0.928,0.8475
9_9,0.9661,0.9863,0.9223,0.8457
9_10,0.9674,0.9864,0.9146,0.8494
9_11,0.9667,0.9869,0.9399,0.8545
9_12,0.9666,0.9868,0.9301,0.8475
9_13,0.9664,0.9867,0.9184,0.8509
9_14,0.9663,0.9866,0.9282,0.845
9_15,0.966,0.987,0.9379,0.8528
9_16,0.9673,0.9868,0.9287,0.8529
9_17,0.9666,0.987,0.93,0.8401
9_18,0.9671,0.9869,0.9162,0.8549
9_19,0.9665,0.9864,0.9342,0.8552
9_20,0.9664,0.9872,0.9215,0.8501
9_21,0.9662,0.9872,0.9307,0.8465
9_22,0.9669,0.987,0.9284,0.8527
9_23,0.9665,0.9867,0.9226,0.8558
9_24,0.9666,0.9869,0.9231,0.852
9_25,0.9673,0.9867,0.9281,0.8414
9_26,0.9668,0.987,0.9204,0.8527
9_27,0.9672,0.9867,0.9402,0.852
9_28,0.967,0.9872,0.9324,0.8477
9_29,0.9669,0.9871,0.9326,0.8487
9_30,0.9672,0.987,0.9435,0.8458
9_31,0.967,0.9871,0.932,0.8498
9_32,0.9671,0.9876,0.9328,0.8447
9_33,0.9671,0.9871,0.9373,0.8523
9_34,0.9673,0.9872,0.9276,0.8479
9_35,0.9671,0.9867,0.9245,0.8517
9_36,0.9671,0.9872,0.9236,0.8458
9_37,0.9671,0.9873,0.9346,0.8542
9_38,0.9667,0.9871,0.9407,0.852
9_39,0.967,0.9872,0.9314,0.8452
10_0,0.9672,0.9874,0.9235,0.8476
10_1,0.9673,0.9871,0.9178,0.851
10_2,0.967,0.9867,0.9339,0.8443
10_3,0.9671,0.987,0.9188,0.8494
10_4,0.9672,0.987,0.9434,0.8515
10_5,0.9671,0.9871,0.9309,0.8483
10_6,0.967,0.9871,0.9247,0.8483
10_7,0.9672,0.9872,0.9251,0.8514
10_8,0.9674,0.9871,0.9277,0.8466
10_9,0.9672,0.9866,0.9345,0.8464
